a,47980,1
a,3357135,2
a,4368040,3
a,546475,4
a,2961450,5
a,715320,6
a,7417510,7
a,6945795,8
a,1600745,9
a,6006673,10
a,4450174,11
a,7013702,12
a,392302,13
a,4684535,14
a,238760,15
a,5156520,16
a,1976553,17
a,2244122,18
a,2128132,19
a,5989793,20
a,4894172,21
a,6683733,22
a,5427800,23
a,4828760,24
a,2116564,25
a,2941924,26
a,1982776,27
a,5006046,28
a,1228221,29
a,3953315,30
a,5804461,31
a,7412490,32
a,7199960,33
a,3619451,34
a,4078012,35
a,4161572,36
a,171817,37
a,3050205,38
a,2857207,39
a,4307121,40
a,4395055,41
a,561763,42
a,5091438,43
a,2576351,44
a,2482196,45
a,6954995,46
a,2046743,47
a,4491590,48
a,2260335,49
a,4987962,50
a,4223043,51
a,1574941,52
a,4522845,53
a,1360600,54
a,484687,55
a,2233507,56
a,1377640,57
a,5306981,58
a,441321,59
a,2084053,60
a,1280630,61
a,1492517,62
a,4256594,63
a,4570967,64
a,2115569,65
a,6435323,66
a,1870504,67
a,3796691,68
a,2544188,69
a,1068927,70
a,5031276,71
a,6308910,72
a,281240,73
a,322894,74
a,561393,75
a,1503556,76
a,2009473,77
a,1985404,78
a,4650121,79
a,6479677,80
a,2115392,81
a,5997901,82
a,5126527,83
a,4413821,84
a,25851,85
a,2337807,86
a,177125,87
a,6732091,88
a,3953548,89
a,6555363,90
a,6177925,91
a,6643734,92
a,3903753,93
a,736814,94
a,191792,95
a,477048,96
a,4556687,97
a,2992136,98
