41,0,1139175,42376,0
2,1,7940161,42747,0
69,1,9039095,42785,1
21,1,3553416,42808,1
50,0,8158793,42653,1
95,0,5541714,42467,0
28,0,2191474,42427,0
77,0,970918,42746,0
68,0,5752857,42561,1
60,0,5996109,42635,0
90,1,6469755,42622,1
23,1,1480201,42565,1
67,1,2596685,42789,1
88,0,9025385,42375,1
4,0,4027275,42402,0
77,0,9220870,42445,0
57,1,8003911,42665,1
48,0,5363977,42668,0
28,0,8704277,42521,1
84,1,9972844,42709,0
79,1,5197295,42411,0
79,0,2388020,42434,1
20,1,3446276,42678,1
58,0,663150,42791,0
65,0,8858758,42469,0
51,1,5326209,42775,1
71,1,9705006,42707,0
91,1,5248481,42554,1
32,1,4512838,42550,1
45,1,6799187,42382,0
97,1,9148127,42738,0
60,0,7352671,42768,1
91,1,7573298,42556,0
85,1,6515094,42628,1
55,0,3173335,42409,0
70,1,7011568,42415,1
84,1,86227,42567,1
26,0,5839901,42789,1
42,0,6845512,42537,1
28,0,952222,42742,1
77,0,9674454,42678,1
40,0,17843,42471,1
69,0,2051300,42579,1
84,1,2745573,42639,1
55,0,8481653,42546,1
96,1,9157343,42606,1
74,0,8860818,42662,0
86,0,7053543,42414,0
61,1,2947282,42428,0
76,1,536021,42715,1
66,0,9122598,42407,1
94,0,4004227,42448,1
3,1,4152847,42649,1
77,1,5017274,42702,0
74,1,3201259,42764,1
58,0,4412591,42551,0
1,0,9555072,42731,0
45,1,7702789,42798,1
72,0,253199,42457,1
27,0,2258207,42609,1
9,0,91297,42739,1
35,1,4625669,42556,0
7,0,3545529,42462,0
32,0,8862731,42395,0
40,1,8902646,42663,0
23,0,6473842,42660,1
84,0,4808246,42759,0
27,0,2488354,42530,1
9,0,8133492,42771,0
53,1,6134865,42735,0
13,1,5797331,42407,0
18,1,4145663,42371,0
63,1,7508047,42702,1
25,0,1327231,42734,0
61,1,5634539,42540,0
97,1,6688000,42379,0
90,1,5766917,42732,0
70,0,5578302,42636,1
28,0,9959358,42409,1
84,1,7625348,42667,0
97,1,2694446,42692,1
38,1,4043028,42535,0
41,0,5952201,42476,1
89,1,9452167,42551,1
67,0,668940,42794,0
82,1,2638318,42610,0
39,0,5119872,42762,1
77,1,1631168,42822,1
89,1,7055259,42815,1
87,1,5873532,42510,1
5,0,3150832,42549,1
58,1,5628983,42802,1
14,0,6248993,42492,0
61,1,2771047,42703,1
19,1,1264043,42591,1
2,0,1243154,42657,1
81,1,7070487,42792,0
35,0,8317344,42663,0
48,0,7613460,42709,0
69,0,5417297,42641,1
6,1,6719172,42586,0
29,0,9949147,42694,0
33,0,6953464,42509,1
81,1,9051731,42725,0
15,0,1943593,42499,1
26,0,4010702,42616,0
7,1,5002896,42552,0
39,0,154068,42524,0
29,1,4741630,42495,1
41,1,3281661,42722,1
45,0,2144123,42596,1
53,0,3283719,42494,1
37,1,1200577,42440,0
90,0,3918220,42716,0
93,1,8241058,42433,0
35,1,2800708,42618,0
47,1,2826528,42548,0
63,1,3234833,42750,1
56,0,3668308,42674,0
79,1,8869138,42500,0
10,0,6968832,42610,0
58,1,8025820,42414,1
76,1,782478,42676,0
11,1,8911075,42794,1
1,1,6167086,42755,0
4,0,2968980,42600,1
67,1,2561189,42676,0
45,0,7550660,42756,0
58,1,2219906,42575,1
22,1,9085397,42639,1
88,1,1809087,42808,0
16,1,3495605,42576,0
28,1,5832357,42397,0
73,0,6344144,42617,0
91,0,3570857,42409,1
14,0,920145,42541,0
41,1,3819531,42814,1
13,0,9481884,42474,0
34,0,5089047,42394,1
36,0,4579321,42688,1
83,1,5974611,42404,0
23,0,453969,42563,0
43,0,7049433,42568,1
20,0,6059599,42741,0
3,0,7522296,42511,0
5,0,2369788,42764,0
90,0,1130635,42707,0
42,1,3396009,42438,0
44,0,5788876,42411,1
60,0,8035983,42579,0
74,0,406250,42807,0
27,1,776669,42619,1
28,0,4691176,42509,0
56,0,6102209,42717,0
40,0,4819864,42691,0
17,0,4416107,42425,1
55,1,3550495,42668,1
31,1,4562167,42784,0
1,0,2569187,42599,1
40,0,3350328,42462,0
95,1,322091,42640,1
69,0,784925,42803,1
23,0,3568531,42573,0
47,0,9486991,42747,1
33,1,3613075,42407,0
38,1,1670488,42416,1
27,1,1067781,42513,1
36,1,5659579,42577,0
6,1,4190032,42465,0
61,0,4479456,42738,0
18,1,7168606,42690,0
86,0,1776212,42773,0
85,1,671360,42765,0
51,1,5187493,42652,0
83,1,7020149,42381,1
25,0,7546514,42690,0
84,1,5583228,42375,0
43,1,6922219,42476,0
44,0,4077310,42386,1
66,1,6223491,42545,1
65,0,2823694,42650,0
5,1,2531343,42553,1
3,1,8372281,42465,0
94,0,8214985,42447,0
31,1,9946624,42412,0
25,1,3443640,42457,0
50,0,9869033,42495,1
74,0,1670490,42657,0
55,1,6130862,42756,0
6,1,6772124,42476,0
53,0,8936175,42746,0
14,1,3326867,42736,1
25,0,7085219,42406,0
89,1,1892446,42775,0
97,0,7235936,42378,0
91,0,6087022,42689,0
97,0,5006451,42609,0
4,1,7936936,42736,1
56,0,7886264,42638,0
54,1,1260163,42594,1
39,0,1607767,42616,0
55,1,9421829,42718,0
63,0,1482259,42643,1
7,0,7206432,42789,0
16,0,3497944,42815,1
94,1,6055235,42597,1
33,1,2910825,42609,0
39,0,7425343,42645,1
44,1,6269985,42516,1
49,0,5717575,42654,0
18,0,7145235,42781,1
18,0,8680662,42681,1
42,1,6784548,42567,0
6,0,1920542,42783,1
86,1,7450700,42375,1
24,1,2478012,42591,0
37,0,7458226,42732,0
13,1,4234324,42777,1
12,0,3984278,42412,1
63,1,1329992,42739,1
56,1,4702479,42698,0
63,1,85785,42568,1
6,1,4694553,42532,0
47,0,4337843,42632,1
48,0,8047950,42492,1
98,1,6688844,42700,0
37,1,3252205,42529,1
29,1,6656424,42749,0
74,1,3977376,42743,1
13,0,6298713,42461,0
19,1,5232243,42580,1
54,1,7192294,42637,1
31,0,5422915,42398,1
44,0,1850670,42378,0
92,1,5311172,42505,0
11,1,193780,42593,0
25,0,4780775,42599,1
88,0,344945,42782,0
21,0,1744139,42465,0
15,0,1686189,42655,0
96,1,9926662,42597,1
76,1,6400256,42768,0
2,0,3916942,42542,0
29,1,1665890,42812,0
12,1,6310390,42452,0
56,0,6081965,42394,0
14,0,8828183,42396,1
90,1,8617870,42436,1
33,1,1195419,42658,1
86,0,4941473,42667,1
1,1,1370914,42534,0
50,0,9684573,42665,1
73,0,6772418,42431,0
50,1,9081758,42706,1
9,0,6876019,42549,0
90,1,8937871,42524,0
98,0,4888273,42791,1
48,0,1275370,42624,1
36,1,541281,42775,0
90,1,1613022,42506,1
48,0,7626969,42499,1
1,0,3144117,42727,0
58,0,8711945,42629,0
31,1,1379060,42466,0
8,0,4042897,42514,1
9,0,7904818,42631,0
34,1,5322606,42567,0
26,1,8107494,42687,0
72,1,7650203,42577,1
14,0,3461058,42789,1
47,1,1945294,42411,0
33,0,7102362,42671,1
95,1,6098716,42510,0
6,1,5518313,42619,0
10,1,9781002,42754,1
59,0,9588246,42718,1
36,1,4846813,42599,0
85,0,7146109,42605,1
15,0,8101590,42618,0
50,0,3969441,42453,0
72,1,3625508,42782,0
89,1,6927298,42798,1
59,1,6034764,42595,1
90,0,7873312,42804,1
77,0,2625751,42548,0
5,0,7410254,42807,1
68,1,3008891,42647,0
14,0,9462641,42416,1
62,1,2160458,42760,1
22,1,6292626,42548,0
51,0,2554792,42764,0
63,1,5652965,42616,0
93,0,5709055,42657,0
55,1,195891,42442,0
58,1,6041902,42602,0
28,1,7300277,42547,0
26,1,4497218,42638,0
45,0,4757356,42461,0
94,0,9067428,42783,1
14,0,8065284,42817,0
11,0,4054225,42426,0
76,1,3144723,42464,1
22,0,1706968,42783,0
51,0,7890228,42729,0
4,0,5732050,42812,0
34,1,5659503,42655,0
76,0,8489268,42593,0
74,0,4351177,42567,0
90,1,8791188,42631,0
62,0,7300340,42500,0
83,1,200319,42460,1
52,1,6605398,42373,0
34,1,7795035,42779,1
1,1,733103,42603,0
76,0,6780120,42793,0
31,1,6139248,42747,0
68,0,5853882,42570,0
55,0,101162,42515,0
7,1,5821680,42433,0
9,1,7113509,42599,1
1,1,2899458,42778,1
24,1,8187544,42382,1
81,0,3401736,42396,0
8,0,4633510,42646,1
26,1,3808374,42494,1
85,0,8353355,42456,0
87,0,3578047,42554,0
68,0,1932429,42727,0
82,0,9792906,42641,1
74,1,1035225,42519,1
3,1,5986873,42752,0
3,1,1882190,42555,0
59,1,1951027,42797,1
87,1,7450142,42529,0
22,1,5359353,42809,1
92,1,9793520,42719,1
96,0,1688980,42568,1
22,0,3502564,42569,1
16,1,1357135,42762,1
